CMPLNT_NUM,ADDR_PCT_CD,BORO_NM,CMPLNT_FR_DT,CMPLNT_FR_TM,CMPLNT_TO_DT,CMPLNT_TO_TM,CRM_ATPT_CPTD_CD,HADEVELOPT,HOUSING_PSA,JURISDICTION_CODE,JURIS_DESC,KY_CD,LAW_CAT_CD,LOC_OF_OCCUR_DESC,OFNS_DESC,PARKS_NM,PATROL_BORO,PD_CD,PD_DESC,PREM_TYP_DESC,RPT_DT,STATION_NAME,SUSP_AGE_GROUP,SUSP_RACE,SUSP_SEX,TRANSIT_DISTRICT,VIC_AGE_GROUP,VIC_RACE,VIC_SEX,X_COORD_CD,Y_COORD_CD,Latitude,Longitude,Lat_Lon
699083126,100,QUEENS,7/1/2017,15:00:00,3/10/2018,11:30:00,COMPLETED,,,0,N.Y. POLICE DEPT,578,VIOLATION,INSIDE,HARRASSMENT 2,,PATROL BORO QUEENS SOUTH,638,"HARASSMENT,SUBD 3,4,5",RESIDENCE - APT. HOUSE,3/15/2018,,45-64,WHITE HISPANIC,F,,45-64,WHITE HISPANIC,M,1037018,152579,40.58532136,-73.81002278,"(40.585321363, -73.810022782)"
613465603,9,MANHATTAN,7/1/2017,0:01:00,7/31/2017,23:59:00,COMPLETED,,,0,N.Y. POLICE DEPT,104,FELONY,INSIDE,RAPE,,PATROL BORO MAN SOUTH,153,RAPE 3,RESIDENCE - APT. HOUSE,3/15/2018,,,,,,<18,UNKNOWN,F,987624,203977,40.72655402,-73.98782843,"(40.726554019, -73.987828427)"
975609257,34,MANHATTAN,7/1/2017,0:00:00,7/31/2017,23:59:00,COMPLETED,,,0,N.Y. POLICE DEPT,341,MISDEMEANOR,INSIDE,PETIT LARCENY,,PATROL BORO MAN NORTH,347,PETIT LARCENY-CHECK FROM MAILB,MAILBOX INSIDE,3/7/2018,,,,,,65+,BLACK HISPANIC,F,1003295,250400,40.85395278,-73.93115758,"(40.853952777, -73.931157576)"
246523929,60,BROOKLYN,7/1/2017,12:00:00,3/2/2018,12:00:00,COMPLETED,,,0,N.Y. POLICE DEPT,233,MISDEMEANOR,INSIDE,SEX CRIMES,,PATROL BORO BKLYN SOUTH,175,"SEXUAL ABUSE 3,2",RESIDENCE - APT. HOUSE,3/5/2018,,UNKNOWN,ASIAN/PAC.ISL,M,,<18,ASIAN/PAC.ISL,F,990922,149184,40.5761573,-73.9759838,"(40.5761573, -73.9759838)"
786532408,107,QUEENS,7/1/2017,12:00:00,7/3/2017,12:00:00,COMPLETED,,,0,N.Y. POLICE DEPT,116,FELONY,INSIDE,SEX CRIMES,HOOVER - MANTON PLAYGROUNDS,PATROL BORO QUEENS SOUTH,168,SODOMY 1,PARK/PLAYGROUND,3/5/2018,,18-24,WHITE,M,,18-24,WHITE,F,1036790,205267,40.72993936,-73.81043314,"(40.729939364, -73.810433142)"
363979248,77,BROOKLYN,7/1/2017,0:01:00,7/31/2017,23:59:00,COMPLETED,,,0,N.Y. POLICE DEPT,106,FELONY,INSIDE,FELONY ASSAULT,,PATROL BORO BKLYN NORTH,105,STRANGULATION 1ST,RESIDENCE - APT. HOUSE,3/3/2018,,45-64,UNKNOWN,M,,25-44,WHITE HISPANIC,F,996639,186278,40.67796638,-73.95533586,"(40.677966381, -73.955335861)"
852200912,75,BROOKLYN,7/1/2017,0:01:00,2/20/2018,23:59:00,COMPLETED,,,0,N.Y. POLICE DEPT,233,MISDEMEANOR,INSIDE,SEX CRIMES,,PATROL BORO BKLYN NORTH,681,"CHILD, ENDANGERING WELFARE",RESIDENCE-HOUSE,3/1/2018,,,,,,<18,BLACK,F,1017141,183798,40.67110691,-73.88143296,"(40.671106911, -73.881432957)"
665512904,114,QUEENS,7/1/2017,16:00:00,2/27/2018,14:00:00,COMPLETED,,10046,2,N.Y. HOUSING POLICE,361,MISDEMEANOR,INSIDE,OFF. AGNST PUB ORD SENSBLTY &,,PATROL BORO QUEENS NORTH,639,AGGRAVATED HARASSMENT 2,RESIDENCE - PUBLIC HOUSING,2/27/2018,,45-64,BLACK,M,,25-44,BLACK,M,999585,214041,40.75416455,-73.94465152,"(40.754164551, -73.944651523)"
905193124,48,BRONX,7/1/2017,14:00:00,10/1/2017,17:00:00,COMPLETED,,,0,N.Y. POLICE DEPT,341,MISDEMEANOR,INSIDE,PETIT LARCENY,,PATROL BORO BRONX,349,"LARCENY,PETIT OF LICENSE PLATE",OPEN AREAS (OPEN LOTS),2/27/2018,,,,,,45-64,BLACK,M,1016115,247370,40.84559937,-73.88483028,"(40.845599369, -73.884830275)"
499622474,52,BRONX,7/1/2017,0:00:00,7/30/2017,23:59:00,COMPLETED,,,0,N.Y. POLICE DEPT,116,FELONY,INSIDE,SEX CRIMES,,PATROL BORO BRONX,177,SEXUAL ABUSE,RESIDENCE - APT. HOUSE,2/23/2018,,25-44,WHITE HISPANIC,M,,<18,WHITE HISPANIC,F,1017542,255919,40.86905853,-73.87963015,"(40.869058532, -73.879630148)"
102652903,48,BRONX,7/1/2017,12:00:00,2/10/2018,15:30:00,COMPLETED,,,0,N.Y. POLICE DEPT,578,VIOLATION,INSIDE,HARRASSMENT 2,,PATROL BORO BRONX,638,"HARASSMENT,SUBD 3,4,5",RESIDENCE-HOUSE,2/12/2018,,25-44,WHITE HISPANIC,M,,25-44,WHITE HISPANIC,F,1016029,249661,40.85188779,-73.88513025,"(40.851887793, -73.885130249)"
140762030,6,MANHATTAN,7/1/2017,22:30:00,12/9/2017,22:30:00,COMPLETED,,,0,N.Y. POLICE DEPT,578,VIOLATION,INSIDE,HARRASSMENT 2,,PATROL BORO MAN SOUTH,638,"HARASSMENT,SUBD 3,4,5",RESIDENCE - APT. HOUSE,2/9/2018,,45-64,WHITE,M,,65+,UNKNOWN,F,984932,206521,40.7335373,-73.99754061,"(40.733537296, -73.997540609)"
727941753,62,BROOKLYN,7/1/2017,12:00:00,10/13/2017,12:00:00,COMPLETED,,,0,N.Y. POLICE DEPT,112,FELONY,INSIDE,THEFT-FRAUD,,PATROL BORO BKLYN SOUTH,739,"FRAUD,UNCLASSIFIED-FELONY",RESIDENCE - APT. HOUSE,2/8/2018,,UNKNOWN,UNKNOWN,U,,45-64,WHITE,F,989523,157743,40.59965099,-73.9810132,"(40.599650994, -73.981013196)"
597904696,84,BROOKLYN,7/1/2017,0:01:00,1/1/2018,0:01:00,COMPLETED,,,0,N.Y. POLICE DEPT,104,FELONY,INSIDE,RAPE,,PATROL BORO BKLYN NORTH,157,RAPE 1,RESIDENCE - APT. HOUSE,2/8/2018,,25-44,WHITE HISPANIC,M,,25-44,WHITE,F,989013,192652,40.69546894,-73.98282508,"(40.695468941, -73.982825079)"
722977040,40,BRONX,7/1/2017,7:00:00,2/5/2018,9:30:00,COMPLETED,,,0,N.Y. POLICE DEPT,578,VIOLATION,INSIDE,HARRASSMENT 2,,PATROL BORO BRONX,638,"HARASSMENT,SUBD 3,4,5",RESIDENCE - APT. HOUSE,2/5/2018,,,,,,25-44,WHITE HISPANIC,F,1010052,235402,40.81277044,-73.90679007,"(40.812770443, -73.906790071)"
267400439,108,QUEENS,7/1/2017,17:00:00,12/1/2017,17:00:00,COMPLETED,,,0,N.Y. POLICE DEPT,351,MISDEMEANOR,,CRIMINAL MISCHIEF & RELATED OF,,PATROL BORO QUEENS NORTH,258,"CRIMINAL MISCHIEF 4TH, GRAFFIT",STREET,2/1/2018,,,,,,UNKNOWN,UNKNOWN,E,1012587,212690,40.75042429,-73.89772802,"(40.750424291, -73.89772802)"
583685720,66,BROOKLYN,7/1/2017,17:30:00,1/30/2018,17:30:00,COMPLETED,,,0,N.Y. POLICE DEPT,233,MISDEMEANOR,INSIDE,SEX CRIMES,,PATROL BORO BKLYN SOUTH,175,"SEXUAL ABUSE 3,2",RESIDENCE - APT. HOUSE,1/30/2018,,18-24,UNKNOWN,M,,<18,WHITE HISPANIC,F,986633,167258,40.62576896,-73.99141682,"(40.625768961, -73.991416822)"
576319786,109,QUEENS,7/1/2017,0:00:00,1/28/2018,7:00:00,COMPLETED,,,0,N.Y. POLICE DEPT,578,VIOLATION,INSIDE,HARRASSMENT 2,,PATROL BORO QUEENS NORTH,638,"HARASSMENT,SUBD 3,4,5",RESIDENCE - APT. HOUSE,1/28/2018,,,,,,65+,WHITE HISPANIC,F,1033559,213109,40.75148227,-73.82203332,"(40.751482265, -73.822033318)"
130776881,52,BRONX,7/1/2017,12:00:00,1/25/2018,12:00:00,COMPLETED,,,0,N.Y. POLICE DEPT,361,MISDEMEANOR,INSIDE,OFF. AGNST PUB ORD SENSBLTY &,,PATROL BORO BRONX,639,AGGRAVATED HARASSMENT 2,RESIDENCE - APT. HOUSE,1/25/2018,,UNKNOWN,UNKNOWN,M,,45-64,BLACK HISPANIC,F,1013735,255974,40.86922303,-73.89339457,"(40.869223027, -73.893394567)"
257630148,75,BROOKLYN,7/1/2017,12:00:00,7/2/2017,23:00:00,COMPLETED,,,0,N.Y. POLICE DEPT,233,MISDEMEANOR,INSIDE,SEX CRIMES,,PATROL BORO BKLYN NORTH,175,"SEXUAL ABUSE 3,2",RESIDENCE - APT. HOUSE,1/25/2018,,,,,,<18,WHITE HISPANIC,F,1017141,183798,40.67110691,-73.88143296,"(40.671106911, -73.881432957)"
295319087,46,BRONX,7/1/2017,0:00:00,7/31/2017,23:59:00,COMPLETED,,,0,N.Y. POLICE DEPT,233,MISDEMEANOR,INSIDE,SEX CRIMES,,PATROL BORO BRONX,170,"SEXUAL MISCONDUCT,INTERCOURSE",RESIDENCE - APT. HOUSE,1/25/2018,,,,,,<18,WHITE HISPANIC,F,1011881,250411,40.85396027,-73.90012088,"(40.853960274, -73.900120875)"
973180205,71,BROOKLYN,7/1/2017,16:00:00,1/18/2018,21:32:00,COMPLETED,,,0,N.Y. POLICE DEPT,578,VIOLATION,INSIDE,HARRASSMENT 2,,PATROL BORO BKLYN SOUTH,638,"HARASSMENT,SUBD 3,4,5",RESIDENCE-HOUSE,1/21/2018,,<18,BLACK,M,,<18,ASIAN/PAC.ISL,F,1002652,180695,40.66263184,-73.93367267,"(40.662631839, -73.933672673)"
865455180,101,QUEENS,7/1/2017,0:01:00,8/15/2017,23:59:00,COMPLETED,,,0,N.Y. POLICE DEPT,109,FELONY,INSIDE,GRAND LARCENY,,PATROL BORO QUEENS SOUTH,422,"LARCENY,GRAND BY OPEN CREDIT CARD (NEW ACCT)",RESIDENCE - APT. HOUSE,1/19/2018,,UNKNOWN,UNKNOWN,U,,18-24,BLACK,M,1052288,156240,40.59526599,-73.75501016,"(40.595265987, -73.755010164)"
